Biotop;percentage;nPatches;
bio_565272008;95;115;
bio_563180019;50;124;
bio_565511917;96;309;
bio_563010062;51;152;
bio_564030048;75;96;
bio_565275020;96;52;
bio_565011438;92;50;
bio_565314961;84;25;
bio_563010065;53;127;
bio_565015054;84;83;
bio_563010091;24;37;
bio_563180021;61;88;
bio_565015062;74;47;
bio_563130142;67;34;
bio_564140085;54;70;
bio_564040103;48;27;
bio_565491551;93;321;
bio_564080113;57;38;
bio_565275029;53;54;
bio_565325042;95;23;
bio_564080114;44;38;
bio_565290528;46;13;
bio_565350011;68;22;
bio_565180163;100;36;
bio_565274993;90;242;
bio_565390267;81;55;
bio_563170097;100;20;
bio_565274967;91;374;
bio_565325029;94;37;
bio_565492945;86;117;
bio_565030188;93;64;
bio_564040168;55;34;
bio_565040039;35;39;
bio_564130169;48;41;
bio_563030099;88;17;
bio_565030175;93;73;
bio_565040008;68;60;
bio_565430183;93;74;
bio_565430177;72;81;
bio_565040205;50;24;
bio_563190019;53;167;
bio_565011695;86;190;
bio_565030186;89;82;
bio_565016020;90;30;
bio_565314951;93;286;
bio_565160145;43;16;
bio_565271018;91;203;
bio_564030040;76;239;
bio_565271215;91;123;
bio_565350010;57;49;
bio_565491568;34;82;
bio_563130143;55;45;
bio_564150216;84;71;
bio_565160142;77;85;
bio_565503071;81;22;
bio_563010099;44;50;
bio_565272007;92;175;
bio_564080112;59;184;
bio_565275019;95;23;
bio_563010064;48;211;
bio_565290527;68;19;
bio_563180020;50;61;
bio_563010063;58;251;
bio_564010227;95;148;
bio_564040301;76;84;
bio_564080123;42;42;
bio_565131970;91;62;
bio_565275021;100;40;
bio_565013108;91;193;
bio_565350086;96;28;
bio_565030187;68;16;
bio_563170054;92;767;
bio_565290110;52;55;
bio_563190018;52;138;
bio_565030173;92;27;
bio_565350081;97;43;
bio_565340213;71;53;
bio_563190020;47;140;
bio_563030098;74;63;
bio_564130168;40;40;
bio_564150046;73;79;
bio_565360089;93;443;
bio_563200139;90;122;
bio_565271080;86;36;
bio_565160129;73;26;
bio_565350043;84;116;
bio_565030189;97;46;
bio_564050102;66;15;
bio_565430178;82;46;
bio_565274959;97;88;
bio_565275043;81;32;
bio_563200108;96;88;
bio_565030145;84;58;
bio_563030096;89;174;
bio_565274992;88;211;
bio_565283027;87;49;
bio_564120047;40;22;
bio_565283016;87;245;
bio_565272128;98;58;
bio_564040220;57;21;
bio_565410060;48;27;
bio_565324086;94;230;
bio_565180213;96;65;
bio_565283011;80;105;
bio_565011712;93;380;
bio_565180214;97;42;
bio_565015977;84;19;
bio_563080241;55;93;
bio_564140158;35;37;
bio_564160309;58;53;
bio_565505057;93;43;
bio_565321137;97;230;
bio_565560004;28;7;
bio_565282994;79;109;
bio_565511403;86;172;
bio_564070076;42;7;
bio_564110227;52;118;
bio_563150111;93;15;
bio_564150193;87;99;
bio_565290452;39;43;
bio_565380128;47;23;
bio_564020168;81;111;
bio_565560003;87;94;
bio_564020157;80;36;
bio_564070071;65;20;
bio_565272940;95;81;
bio_564040289;60;100;
bio_565272982;94;37;
bio_565290463;77;49;
bio_565242941;97;102;
bio_564020161;85;102;
bio_564020159;86;86;
bio_563150118;93;88;
bio_565290490;62;78;
bio_564130272;80;31;
bio_565242946;97;69;
bio_565322348;97;135;
bio_565283010;93;15;
bio_565505056;100;51;
bio_563070052;45;215;
bio_565324073;96;381;
bio_563080247;72;80;
bio_565015971;81;55;
bio_564110078;20;39;
bio_565241596;84;158;
bio_565324087;89;373;
bio_565283028;87;78;
bio_565290260;83;6;
bio_565505058;100;46;
bio_564140157;43;69;
bio_565290603;30;13;
bio_565521468;91;47;
bio_563080249;77;71;
bio_564090059;65;23;
bio_565375042;92;75;
bio_565283019;72;58;
bio_563080276;73;67;
bio_564020158;71;83;
bio_565521631;100;4;
bio_563040038;60;30;
bio_563090088;100;48;
bio_565271198;96;57;
bio_564020160;71;120;
bio_565013021;91;454;
bio_565272370;100;16;
bio_565380129;64;94;
bio_564020156;83;77;
bio_564040281;60;63;
bio_565290202;63;19;
bio_565282995;84;94;
bio_564160151;81;16;
bio_563120055;93;43;
bio_564020173;100;28;
bio_563120084;42;40;
bio_563110047;77;22;
bio_563170156;65;40;
bio_563110078;98;56;
bio_565501487;96;255;
bio_564130256;94;18;
bio_565511429;84;275;
bio_565013004;91;150;
bio_564040266;37;45;
bio_563080254;61;90;
bio_565283004;88;34;
bio_564140172;51;156;
bio_565505089;99;109;
bio_563080253;58;103;
bio_565015965;83;18;
bio_565290619;35;28;
bio_565324093;87;205;
bio_564060256;74;63;
bio_564140181;66;33;
bio_564140175;25;70;
bio_565290626;70;20;
bio_565283003;96;57;
bio_563100071;53;30;
bio_564150325;82;45;
bio_565390134;83;6;
bio_564130234;60;66;
bio_564140143;64;51;
bio_563090004;91;178;
bio_563030105;90;50;
bio_565374987;94;36;
bio_563170166;74;59;
bio_564040293;58;39;
bio_563110048;97;73;
bio_565340114;66;6;
bio_565282148;95;63;
bio_565511417;85;155;
bio_565272998;95;46;
bio_565290025;60;40;
bio_563170161;91;126;
bio_564150174;91;12;
bio_563170157;92;71;
bio_564140111;60;577;
bio_564020172;91;12;
bio_564130259;70;85;
bio_563120049;70;210;
bio_565015955;85;62;
bio_565013058;69;33;
bio_565290629;76;42;
bio_565282571;95;139;
bio_565272931;91;45;
bio_565013093;91;285;
bio_564050097;80;80;
bio_563040041;47;21;
bio_565430021;100;10;
bio_565070169;85;14;
bio_565070156;100;11;
bio_565374981;79;53;
bio_563040046;21;70;
bio_564130235;63;36;
bio_565015999;100;38;
bio_564150324;79;162;
bio_565290618;67;108;
bio_563080252;72;47;
bio_565283002;87;71;
bio_564020117;67;89;
bio_564140174;60;73;
bio_563070047;38;42;
bio_565180238;97;42;
bio_564140180;50;74;
bio_563080067;74;47;
bio_565015963;90;44;
bio_563040048;32;150;
bio_565542589;90;148;
bio_563100077;68;29;
bio_565070167;94;36;
bio_565290620;50;24;
bio_564140173;71;134;
bio_565283005;91;73;
bio_565013051;92;221;
bio_565350059;57;19;
bio_564090108;71;63;
bio_563190033;56;25;
bio_564010258;94;101;
bio_565430196;92;28;
bio_564150052;57;19;
bio_564010260;91;81;
bio_565492501;73;340;
bio_565430191;100;6;
bio_565450074;75;28;
bio_564130188;72;22;
bio_565274975;100;37;
bio_565030169;92;14;
bio_564160098;79;74;
bio_564130172;44;25;
bio_565030151;71;60;
bio_565180149;88;85;
bio_565180182;85;42;
bio_565325003;100;21;
bio_564080101;25;35;
bio_565271201;93;44;
bio_564140063;43;211;
bio_565501500;100;92;
bio_563010079;79;43;
bio_565013945;99;391;
bio_564080106;56;44;
bio_565390013;55;18;
bio_565491544;92;499;
bio_565271239;90;30;
bio_571080915;96;29;
bio_565275032;96;63;
bio_565040085;57;56;
bio_565325061;71;99;
bio_564080108;38;36;
bio_563010077;75;49;
bio_565390210;95;22;
bio_564040315;65;330;
