BiotopNR Percentage nPatches
565272008 44.44 81
563180019 51.61 93
565511917 77.08 192
563010062 54.63 108
564030048 64.79 71
565275020 73.33 30
565011438 36.11 36
565314961 53.33 15
563010065 41.94 93
565015054 63.49 63
563010091 60.00 25
563180021 61.29 62
565015062 35.29 34
563130142 45.83 24
564140085 71.74 46
564040103 84.21 19
565491551 70.78 219
564080113 42.86 35
565275029 33.33 39
565325042 56.25 16
564080114 70.37 27
565290528 53.85 13
565350011 38.46 13
565180163 74.07 27
565274993 75.64 156
565390267 52.38 42
563170097 75.00 16
565274967 72.08 240
565325029 55.17 29
565492945 52.22 90
565030188 79.17 48
564040168 73.91 23
565040039 51.85 27
564130169 26.83 41
563030099 61.54 13
565030175 52.83 53
565040008 53.66 41
565430183 51.72 58
565430177 42.86 63
565040205 25.00 20
